Data,Label
"Please perform the following steps :<div><br><div>1) Open Terminal on netbook (click the destop icon, or do Ctrl+Alt+t)</div><div>2) Type <b>alsamixer</b>, when open navigate using left/right arrow keys</div><div><span style=""background-color: transparent;"">3)&nbsp;</span><span style=""white-space: pre-wrap; line-height: 1.38; color: rgb(0, 0, 0); font-family: Arial; background-color: transparent;"">Changed the alsamixer setting:</span></div><span id=""docs-internal-guid-753d596e-5486-5a2e-6936-c7ef2c5fa319""><ol style=""margin-top:0pt;margin-bottom:0pt;""><ol style=""margin-top:0pt;margin-bottom:0pt;""><li dir=""ltr"" style=""list-style-type: lower-alpha; font-family: Arial; color: rgb(0, 0, 0); vertical-align: baseline; background-color: transparent;""><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span style=""vertical-align: baseline; white-space: pre-wrap; background-color: transparent;"">Locate &amp; press '<b>m</b>' to change <b>Left CLD mixer DACL</b> to&nbsp;</span><span style=""line-height: 20.7000007629395px; white-space: pre-wrap; background-color: transparent;""><b>Left CLD mixer DACL [Off]</b></span></p></li><li dir=""ltr"" style=""list-style-type: lower-alpha; font-family: Arial; color: rgb(0, 0, 0); vertical-align: baseline; background-color: transparent;""><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span style=""vertical-align: baseline; white-space: pre-wrap; background-color: transparent;"">Similarly navigate to right, p</span><span style=""line-height: 1.38; vertical-align: baseline; white-space: pre-wrap; background-color: transparent;"">ress '<b>m</b>' to change <b>Right CLD mixer DACR</b> to&nbsp;<b>Right</b></span><span style=""line-height: 20.7000007629395px; white-space: pre-wrap; background-color: transparent;""><b> CLD mixer DACR [Off]</b></span></p></li><li dir=""ltr"" style=""list-style-type: lower-alpha; font-family: Arial; color: rgb(0, 0, 0); vertical-align: baseline; background-color: transparent;""><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt;""><span style=""white-space: pre-wrap;"">Navigate to left, locate <b>Output Boost, </b>use down arrow key to make the value to <b>50</b></span></p></li></ol></ol><div><font color=""#000000"" face=""Arial""><span style=""line-height: 20.7000007629395px; white-space: pre-wrap;""><b><br></b></span></font></div><div><font color=""#000000"" face=""Arial""><span style=""line-height: 20.7000007629395px; white-space: pre-wrap;"">If audio doesn't come from speaker(in few cases), you may try the following: </span></font></div><div><font color=""#000000"" face=""Arial""><span style=""line-height: 20.7000007629395px; white-space: pre-wrap;"">1)&nbsp;Try playing an audio/video file and keep the volume levels moderate</span></font></div><div><span style=""line-height: 20.7000007629395px; white-space: pre-wrap; color: rgb(0, 0, 0); font-family: Arial;"">2) Connect and disconnect headphone to netbook</span></div><div><span style=""line-height: 20.7000007629395px; white-space: pre-wrap; color: rgb(0, 0, 0); font-family: Arial;""><br></span></div><div><font color=""#000000"" face=""Arial""><span style=""line-height: 20.7000007629395px; white-space: pre-wrap;"">Your audio through speakers may work with the above steps, if not, there could be other issues, please report your issue as a new question.&nbsp;</span></font></div><div><br></div></span></div>",Not Spam
"<div class=""post-text"" itemprop=""text"">\r\n<p>You can use:<br></p><p>import os.path</p><p>os.path.isfile(fname)<br></p>\r\n\r\n\r\n\r\n<p>if you need to be sure it's a file.</p>\r\n    </div>",Not Spam
Could you please give us following &nbsp;details:<div>1) Does the printer works with Ubuntu based x86 operating systems?</div><div>2) Which commands are used to access network printer? What are the error messages?</div><div><br></div><div><br></div>,Not Spam
you can also use<br><br>import os.path<br>os.path.exists(fname)<br>,Not Spam
"There is no package as&nbsp;<b>lpadmin.&nbsp;</b><div>lpadmin command is part of&nbsp;<b>cups-client</b>&nbsp;package.</div><div><br></div><div>I recommend the following:</div><div><br></div><div><pre class=""contents "" style=""margin-bottom: 8px; padding: 0.5em 1em; border-style: dashed; border-color: rgb(193, 180, 150); font-size: 13px; line-height: 16px; font-family: UbuntuMono, courier, monospace; vertical-align: baseline; background-color: rgb(243, 243, 243);""><span class=""cmd command"" style=""margin: 0px; padding: 0px; border: 0px; font-weight: inherit; font-style: inherit; line-height: 1.5; font-family: monospace; vertical-align: baseline; background-color: rgb(242, 242, 242);"">sudo apt-get install cups cups-client</span></pre><pre class=""contents "" style=""margin-bottom: 8px; padding: 0.5em 1em; border-style: dashed; border-color: rgb(193, 180, 150); font-size: 13px; line-height: 16px; font-family: UbuntuMono, courier, monospace; vertical-align: baseline; background-color: rgb(243, 243, 243);""><span style=""font-family: monospace; font-style: inherit; font-weight: inherit; line-height: 1.5; background-color: rgb(242, 242, 242);"">sudo usermod -aG lpadmin student</span></pre></div><div><br></div><div>You can now visit&nbsp;<a href=""http://localhost:631/admin"" class=""ulink"" title=""http://localhost:631/admin"" style=""color: rgb(221, 72, 20); margin: 0px; padding: 0px; border-width: 0px 0px 1px; border-bottom-style: dotted; border-bottom-color: rgb(204, 193, 193); font-size: 13px; line-height: 19.5px; font-family: Ubuntu, 'Ubuntu Beta', 'Bitstream Vera Sans', 'DejaVu Sans', Tahoma, sans-serif; vertical-align: baseline; background-color: rgb(242, 242, 242);"">http://localhost:631/admin</a>&nbsp;and view/edit printer settings.&nbsp;</div><div><br></div>",Not Spam
"I have run the &nbsp;""<span style=""font-family: monospace; font-style: inherit; font-weight: inherit; line-height: 1.5; color: rgb(51, 51, 51); font-size: 13px; white-space: pre-wrap; background-color: rgb(242, 242, 242);"">sudo apt-get install cups cups-client"" command .I have got the following error message</span><div><font color=""#333333"" face=""monospace""><span style=""font-size: 13px; line-height: 19.5px; white-space: pre-wrap;""><br></span></font></div><div><font color=""#333333"" face=""monospace""><span style=""font-size: 13px; line-height: 19.5px; white-space: pre-wrap;""><br></span></font><div><span style=""font-family: monospace; font-style: inherit; font-weight: inherit; line-height: 1.5; color: rgb(51, 51, 51); font-size: 13px; white-space: pre-wrap; background-color: rgb(242, 242, 242);"">""</span><span style=""font-family: monospace; font-style: inherit; line-height: 1.5; color: rgb(51, 51, 51); font-size: 13px; white-space: pre-wrap; background-color: rgb(242, 242, 242);""><b>package cups is not available ,but is referred to by another package.</b></span></div><div><span style=""background-color: rgb(242, 242, 242);""><font color=""#333333"" face=""monospace""><b><span style=""font-size: 13px; font-style: inherit; line-height: 1.5; white-space: pre-wrap;"">this may mean that the package is missing,has been </span><span style=""font-size: 13px; line-height: 19.5px; white-space: pre-wrap;"">obsoleted</span><span style=""font-size: 13px; font-style: inherit; line-height: 1.5; white-space: pre-wrap;""> ,or is only </span><span style=""font-size: 13px; line-height: 19.5px; white-space: pre-wrap;"">available</span><span style=""font-size: 13px; font-style: inherit; line-height: 1.5; white-space: pre-wrap;""> from another source</span></b></font></span></div><div><span style=""font-family: monospace; font-style: inherit; line-height: 1.5; color: rgb(51, 51, 51); font-size: 13px; white-space: pre-wrap; background-color: rgb(242, 242, 242);""><b>E:Package cups 'has  no installation candidate""</b></span></div></div><div><span style=""font-family: monospace; font-style: inherit; line-height: 1.5; color: rgb(51, 51, 51); font-size: 13px; white-space: pre-wrap; background-color: rgb(242, 242, 242);""><b><br></b></span></div>",Not Spam
Do you have FOSSEE laptop(http://laptop.fossee.in)?&nbsp;<div>Is it Ubuntu 14.04.1 based?&nbsp;</div><div>I have verified the above commands on two of my new machines and they worked fine.&nbsp;</div><div><br></div><div>Can you give me the output for following commands?</div><div>1) cat /etc/lsb-release</div><div>2) cat /proc/version</div><div><br></div><div><br></div>,Not Spam
"this is Fosse laptop<div>the command gives&nbsp;<br></div><div>DISTRIB_ID=UBUNTU</div><div>DISTRIB_RELEASE=14.04</div><div>DISTRIB_CODENAME=TRUSTY</div><div>DISTRIB_DESCRIPTION=""UBUNTU 14.02.2LTS""</div><div><div>Linux version 3.4.5 (srikant@gnu-linux-org) (gcc version 4.5.2 (Sourcery G++ Lite 2011.03-41) ) #1 SMP PREEMPT Fri Feb 27 19:50:43 IST 2015</div><div><br></div><div>Kernel 0.26.00.00 (Feb 27 2015 - 19:48:13)</div></div><div><br></div><div><br></div>",Not Spam
"Thanks for the information.<div><br></div><div>Can you perform a <b>sudo apt-get update ?&nbsp;</b></div><div>And try the above mentioned steps.</div><div>The only reason I could think of now is altered <b>/etc/apt/sources.list, </b>some repositories are turned off which is causing <b>missing cups</b> error.</div><div><br></div><div>Please try enabling all repositories, either by modifying &nbsp;<b>/etc/apt/sources.list </b>or through <b>synaptic package manager.</b></div>",Not Spam
"<font size=""4""><span style=""line-height: 18.5714282989502px;"">Using Python We can convert it into a Sandhi block.</span></font><div><font size=""4""><span style=""line-height: 18.5714282989502px;"">You have to use scisicpy&nbsp; library which in python.</span></font></div>",Not Spam
